PLACE_NAME,CITED_BY
Argentina,3
Australia,31
Austria,5
Bangladesh,4
Belgium,11
Brazil,11
Canada,50
Chile,2
China,61
Colombia,3
Costa Rica,1
Cuba,1
Czech Republic,3
Denmark,5
Dominican Republic,1
Egypt,6
England,1
Estonia,3
France,14
Gabon,1
Germany,26
Greece,2
Hong Kong,1
Hungary,2
India,40
Indonesia,1
Iran,11
Iraq,5
Ireland,2
Israel,4
Italy,20
Japan,10
Jordan,1
Kazakhstan,2
Latvia,1
Lebanon,2
Malaysia,5
Malta,1
Mexico,4
Morocco,1
Netherlands,11
New Zealand,2
Nigeria,7
Norway,4
Pakistan,13
Panama,1
Peru,1
Philippines,1
Poland,8
Portugal,4
Puerto Rico,1
Qatar,2
Romania,1
Russia,9
Saint Kitts and Nevis,3
Saudi Arabia,15
Scotland,2
Serbia,1
Singapore,8
Slovakia,1
Slovenia,2
South Africa,8
South Korea,24
Spain,18
Sweden,6
Switzerland,8
Taiwan,5
Thailand,1
Tunisia,1
Turkey,11
Ukraine,3
United Arab Emirates,2
United Kingdom,33
United States,790
Uruguay,1
Venezuela,2
Vietnam,1
Yemen,1
