PLACE_NAME,CITED_BY
Alabama,4
Arizona,8
Arkansas,4
California,41
Colorado,16
Connecticut,13
Delaware,4
Florida,111
Georgia,13
Hawaii,4
Illinois,21
Indiana,15
Iowa,5
Kansas,2
Kentucky,17
Louisiana,2
Maine,4
Maryland,31
Massachusetts,59
Michigan,10
Minnesota,13
Mississippi,3
Missouri,12
Montana,1
Nebraska,3
Nevada,2
New Hampshire,8
New Jersey,6
New Mexico,4
New York,41
North Carolina,25
North Dakota,6
Ohio,47
Oklahoma,3
Oregon,4
Pennsylvania,75
Rhode Island,3
South Carolina,9
South Dakota,1
Tennessee,32
Texas,42
Utah,9
Vermont,9
Virginia,16
Washington,9
"Washington, D.C.",13
West Virginia,6
Wisconsin,4
